DATE,ret_m
20101231,-0.000238
20110103,0.011210
20110104,-0.003892
20110105,0.005377
20110106,-0.002525
20110107,-0.001951
20110110,-0.000719
20110111,0.005026
20110112,0.009025
20110113,-0.001890
20110114,0.006641
20110118,0.002163
20110119,-0.012235
20110120,-0.003819
20110121,0.001273
20110124,0.006287
20110125,-0.000439
20110126,0.007329
20110127,0.002118
20110128,-0.017223
20110131,0.007617
20110201,0.017010
20110202,-0.002223
20110203,0.002934
20110204,0.002164
20110207,0.006126
20110208,0.004566
20110209,-0.003436
20110210,0.001327
20110211,0.006111
20110214,0.003393
20110215,-0.003186
20110216,0.007520
20110217,0.003951
20110218,0.001230
20110222,-0.021042
20110223,-0.006547
20110224,-0.000137
20110225,0.012923
20110228,0.005337
20110301,-0.014895
20110302,0.002836
20110303,0.016081
20110304,-0.005898
20110307,-0.009395
20110308,0.008077
20110309,-0.002436
20110310,-0.019781
20110311,0.006944
20110314,-0.005473
20110315,-0.011147
20110316,-0.016636
20110317,0.012219
20110318,0.004858
20110321,0.016437
20110322,-0.003237
20110323,0.002864
20110324,0.008545
20110325,0.003132
20110328,-0.003327
20110329,0.007150
20110330,0.008229
20110331,-0.000607
20110401,0.005456
20110404,0.001150
20110405,0.001334
20110406,0.001742
20110407,-0.002262
20110408,-0.003387
20110411,-0.004719
20110412,-0.009239
20110413,0.001297
20110414,0.000540
20110415,0.003966
20110418,-0.011620
20110419,0.005718
20110420,0.014281
20110421,0.005870
20110425,-0.001859
20110426,0.008156
20110427,0.006154
20110428,0.002939
20110429,0.003124
20110502,-0.003564
20110503,-0.006630
20110504,-0.007962
20110505,-0.009449
20110506,0.004603
20110509,0.006145
20110510,0.008473
20110511,-0.012235
20110512,0.004045
20110513,-0.008904
20110516,-0.006951
20110517,-0.000640
20110518,0.010741
20110519,0.002343
20110520,-0.006786
20110523,-0.012995
20110524,-0.000395
20110525,0.005074
20110526,0.005327
20110527,0.005113
20110531,0.010291
20110601,-0.023080
20110602,-0.000636
20110603,-0.009284
20110606,-0.012444
20110607,0.000285
20110608,-0.005965
20110609,0.007448
20110610,-0.014085
20110613,-0.000900
20110614,0.013861
20110615,-0.017295
20110616,-0.000108
20110617,0.002167
20110620,0.005343
20110621,0.015891
20110622,-0.005472
20110623,-0.002589
20110624,-0.010565
20110627,0.008073
20110628,0.013694
20110629,0.008730
20110630,0.009709
20110701,0.013472
20110705,-0.000024
20110706,0.001150
20110707,0.010625
20110708,-0.006335
20110711,-0.019343
20110712,-0.003807
20110713,0.004995
20110714,-0.008045
20110715,0.006174
20110718,-0.009476
20110719,0.016161
20110720,0.000056
20110721,0.012261
20110722,0.001434
20110725,-0.006277
20110726,-0.004547
20110727,-0.021650
20110728,-0.002932
20110729,-0.005614
20110801,-0.003592
20110802,-0.025663
20110803,0.004959
20110804,-0.050370
20110805,-0.004785
20110808,-0.068697
20110809,0.051232
20110810,-0.038581
20110811,0.045272
20110812,0.004763
20110815,0.022837
20110816,-0.010892
20110817,0.000851
20110818,-0.045328
20110819,-0.015365
20110822,0.000037
20110823,0.033747
20110824,0.011569
20110825,-0.015915
20110826,0.016443
20110829,0.029629
20110830,0.003756
20110831,0.005094
20110901,-0.012128
20110902,-0.024637
20110906,-0.008140
20110907,0.029153
20110908,-0.010878
20110909,-0.026589
20110912,0.004146
20110913,0.010809
20110914,0.012790
20110915,0.015479
20110916,0.003571
20110919,-0.010938
20110920,-0.004099
20110921,-0.029438
20110922,-0.034406
20110923,0.005752
20110926,0.021600
20110927,0.012852
20110928,-0.023685
20110929,0.008231
20110930,-0.024638
20111003,-0.031945
20111004,0.023628
20111005,0.019659
20111006,0.020563
20111007,-0.010928
20111010,0.034276
20111011,0.001059
20111012,0.011809
20111013,-0.002951
20111014,0.017740
20111017,-0.020853
20111018,0.020797
20111019,-0.014165
20111020,0.003886
20111021,0.019270
20111024,0.016757
20111025,-0.019826
20111026,0.011509
20111027,0.036224
20111028,0.000244
20111031,-0.024640
20111101,-0.028618
20111102,0.017078
20111103,0.019203
20111104,-0.005563
20111107,0.004916
20111108,0.011220
20111109,-0.037862
20111110,0.007426
20111111,0.019777
20111114,-0.009374
20111115,0.004535
20111116,-0.015099
20111117,-0.017210
20111118,-0.000291
20111121,-0.018659
20111122,-0.003935
20111123,-0.023250
20111125,-0.003631
20111128,0.030533
20111129,0.002267
20111130,0.043908
20111201,-0.002279
20111202,0.000094
20111205,0.010293
20111206,0.000391
20111207,0.001910
20111208,-0.022871
20111209,0.017740
20111212,-0.015548
20111213,-0.011237
20111214,-0.012740
20111215,0.003747
20111216,0.004960
20111219,-0.012654
20111220,0.030043
20111221,0.002026
20111222,0.008910
20111223,0.007866
20111227,0.000021
20111228,-0.013646
20111229,0.010779
20111230,-0.002583
20120103,0.016162
20120104,-0.000445
20120105,0.002930
20120106,-0.002906
20120109,0.002817
20120110,0.010421
20120111,0.000949
20120112,0.003046
20120113,-0.005321
20120117,0.003904
20120118,0.012307
20120119,0.005580
20120120,0.000884
20120123,0.001606
20120124,-0.000805
20120125,0.009960
20120126,-0.004911
20120127,0.000689
20120130,-0.003723
20120131,-0.000072
20120201,0.011180
20120202,0.001838
20120203,0.014673
20120206,-0.000971
20120207,0.001397
20120208,0.002191
20120209,0.001004
20120210,-0.008389
20120213,0.007444
20120214,-0.001547
20120215,-0.004226
20120216,0.012469
20120217,0.001391
20120221,0.000155
20120222,-0.003131
20120223,0.005703
20120224,0.001495
